text,aspect,polarity
가격이 착하고,가격,1
디자인이 예쁩니다,디자인,1
가격이 착하고 디자인이 예쁩니다,전체문장,1
싸고,가격,1
디자인이 예뻐요,디자인,1
가성비 가심비 입니다,가격,1
싸고  디자인이 예뻐요. . 정말  가성비 가심비 입니다,전체문장,1
편하고,착용감,1
디자인이 예뻐요,디자인,1
가격도  좋아요,가격,1
시원해요,기능,1
빨리 마르고,소재,1
이것만  입게되요,활용성,1
편하고  디자인이 예뻐요  가격도  좋아요   시원해요  빨리 마르고  이것만  입게되요,전체문장,1
너무 착한가격에 감사합니다,가격,1
윈하는 색은 없지만,색상,-1
너무 착한가격에 감사합니다 윈하는 색은 없지만,전체문장,1
가격이  너무 좋아서,가격,1
소재도  맘에  들어  흰색도  구매했습니다,소재,1
가격이  너무 좋아서  블랙 구매했습니다  그런데 소재도  맘에  들어  흰색도  구매했습니다,전체문장,1
재질도 디자인도 좀~그러네요,소재,-1
디자인도 좀~그러네요,디자인,-1
집에서 편하게 입을수는 있을것 같아요,활용성,0
외출할때 입기에는 재질도 디자인도 좀~그러네요 그냥 집에서 편하게 입을수는 있을것 같아요,전체문장,-1
자켓이 넘작고,사이즈,-1
짧으네요.,길이,-1
상의는 좀작구,사이즈,-1
바지는 잘맞아요.,사이즈,1
특히 자켓이 넘작고 짧으네요. 상의는 좀작구 바지는 잘맞아요.,전체문장,-1
싸고,가격,1
품질이좋아요ᆢ,품질,1
사이즈는좀큰듯하구요ᆢ,사이즈,0
반사이즈는내려서주문하심좋을듯해요,사이즈,0
싸고품질이좋아요ᆢ사이즈는좀큰듯하구요ᆢ반사이즈는내려서주문하심좋을듯해요,전체문장,0
바지가 너무 편하고 좋아요,착용감,1
티셔츠는 여름에 잘 입을 듯,기능,1
베스트는 디자인은 별로지만,디자인,-1
가격이 착해서 만족,가격,1
바지가 너무 편하고 좋아요 티셔츠는 여름에 잘 입을 듯 베스트는 디자인은 별로지만 가격이 착해서 만족,전체문장,1
디자인이 예뻐요.,디자인,1
사이즈 잘 맞습니다.,사이즈,1
디자인이 예뻐요. 사이즈 잘 맞습니다.,전체문장,1
사이즈 딱 맞구요,사이즈,1
너무 예쁘고,디자인,1
얇지도 두껍지도 않으네요.,두께,1
사이즈 딱 맞구요.  너무 예쁘고  얇지도 두껍지도 않으네요.,전체문장,1
저렴하게 구입해서,가격,1
겨울에 잘 입을거 같아요,기능,1
저렴하게 구입해서 겨울에 잘 입을거 같아요,전체문장,1
털이 엄청나게 빠집니다 면 바바리에 엄청나게 묻어나고,품질,-1
하루입고벗었더니 겨드랑이같은곳도 엄청 뭉처있니에요,품질,-1
세탁을 했더니 끝도없이 손에 털뭉치???? 들이 묻어나서 포기했습니다,품질,-1
옷디자인은 너무맘에드는데 ,디자인,1
털빠짐때매 옷이아니네여,품질,-1
털이 엄청나게 빠집니다 면 바바리에 엄청나게 묻어나고  하루입고벗었더니 겨드랑이같은곳도 엄청 뭉처있니에요 그래서 세탁을 했더니 끝도없이 손에 털뭉치???? 들이 묻어나서 포기했습니다 이게불량인가요 왜이렇게 만드신건가요 옷디자인은 너무맘에드는데 털빠짐때매 옷이아니네여,전체문장,-1
디자인이 여성스러운 분위기가 납니다,디자인,1
구겨져와서 다림질 필요했어요,품질,-1
디자인이 여성스러운 분위기가 납니다 구겨져와서 다림질 필요했어요,전체문장,0
99사이즈 입는데 88 사이즈 잘맞고,사이즈,1
기장이 살짝 짧은듯 ,길이,-1
밝은색도 있고,색상,1
까실까실하니 좋으네요~,촉감,1
99사이즈 입는데 88 사이즈 잘맞고~ 기장이 살짝 짧은듯 하지만 밝은색도 있고~ 까실까실하니 좋으네요~,전체문장,1
4종 마음에 들어요,제품구성,1
색깔도 이쁘고,색상,1
4종 마음에 들어요 색깔도 이쁘고 여름니트 입니다,전체문장,1
색상이 예쁘고,색상,1
구김이없어요,품질,1
색상이 예쁘고  구김이없어요,전체문장,1
